,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
76,[0.33082301],[0.],[0.1942704],[0.19611763],[0.2186041],[0.33886771]
77,[0.28013558],[0.],[0.16450474],[0.16606944],[0.18511027],[0.28694736]
78,[0.2475023],[0.],[0.14534122],[0.14672362],[0.16354656],[0.25352006]
79,[0.22740653],[0.],[0.13354157],[0.13481078],[0.15026861],[0.23293786]
80,[0.19625328],[0.],[0.11524637],[0.11634278],[0.12968208],[0.20102602]
81,[0.17147808],[0.],[0.10069834],[0.10165478],[0.11331101],[0.17564774]
82,[0.50681894],[0.],[0.29762035],[0.30045082],[0.33489936],[0.51914218]
83,[0.44463946],[0.],[0.26110685],[0.26358998],[0.2938127],[0.45545069]
84,[0.37669018],[0.],[0.2212056],[0.22330944],[0.24891322],[0.3858503]
85,[0.30572208],[0.],[0.1795297],[0.18123782],[0.20201789],[0.31315594]
86,[0.26681357],[0.],[0.15668208],[0.15817162],[0.17630698],[0.27330134]
87,[0.2343505],[0.],[0.13761878],[0.13892688],[0.15485645],[0.24004944]
88,[0.2130529],[0.],[0.12511152],[0.12630125],[0.14078275],[0.21823344]
89,[0.17988653],[0.],[0.10563523],[0.1066392],[0.11886653],[0.1842601]
90,[1.03678358],[0.],[0.60883402],[0.61462368],[0.68509498],[1.0619951]
91,[0.82015373],[0.],[0.48162211],[0.48620131],[0.54194832],[0.84009658]
92,[0.5423017],[0.],[0.3184583],[0.32148576],[0.35834746],[0.55548893]
93,[0.4833959],[0.],[0.28386634],[0.28656547],[0.31942253],[0.49515062]
94,[0.4200552],[0.],[0.24667114],[0.2490169],[0.27756778],[0.43027027]
95,[0.36752918],[0.],[0.21582547],[0.21787747],[0.24285917],[0.3764664]
96,[0.94651805],[0.],[0.55582675],[0.56111184],[0.62544787],[0.96953328]
97,[0.7589713],[0.],[0.44569354],[0.44993146],[0.50152003],[0.7774272]
98,[0.61848835],[0.],[0.36319622],[0.3666505],[0.40868928],[0.63352714]
99,[0.52463981],[0.],[0.30808598],[0.31101581],[0.34667654],[0.53739763]
100,[0.47886854],[0.],[0.28120781],[0.28388189],[0.31643136],[0.49051354]
101,[0.40316054],[0.],[0.23674982],[0.23900054],[0.26640403],[0.41296435]
102,[0.86460307],[0.],[0.50772442],[0.51255245],[0.57132],[0.88562765]
103,[0.67119322],[0.],[0.3941473],[0.39789533],[0.44351712],[0.68751418]
104,[0.5687712],[0.],[0.33400166],[0.33717773],[0.37583741],[0.58260125]
105,[0.49272624],[0.],[0.28934582],[0.2920968],[0.32558803],[0.50470819]
106,[0.43208381],[0.],[0.25373434],[0.25614662],[0.28551571],[0.44259091]
107,[0.38237443],[0.],[0.22454323],[0.22667818],[0.25266902],[0.39167366]
108,[0.33041002],[0.],[0.19402762],[0.19587312],[0.21833107],[0.33844435]
109,[0.27128131],[0.],[0.15930518],[0.16081978],[0.17925926],[0.27787709]
110,[0.23285318],[0.],[0.13673923],[0.13803955],[0.1538663],[0.23851498]
111,[0.20510496],[0.],[0.12044419],[0.12158899],[0.1355305],[0.2100911]
112,[0.19145981],[0.],[0.11243232],[0.11350109],[0.12651466],[0.1961159]
113,[0.16686778],[0.],[0.0979897],[0.09892195],[0.11026368],[0.17092512]
114,[0.14478048],[0.],[0.08501933],[0.08582803],[0.09566899],[0.14830042]
115,[0.12757306],[0.],[0.07491485],[0.07562678],[0.08429789],[0.13067482]
116,[0.1157881],[0.],[0.06799507],[0.06864134],[0.07651152],[0.11860387]
117,[0.10861344],[0.],[0.06378134],[0.06438787],[0.07176989],[0.11125382]
118,[0.10515571],[0.],[0.06175094],[0.06233846],[0.06948634],[0.10771315]
119,[0.10008317],[0.],[0.05877274],[0.05933174],[0.06613402],[0.10251706]
120,[0.09438163],[0.],[0.05542387],[0.05595091],[0.06236611],[0.09667555]
121,[0.0871992],[0.],[0.05120669],[0.05169398],[0.05762102],[0.08932032]
122,[0.07802611],[0.],[0.04581965],[0.0462551],[0.0515592],[0.07992346]
123,[0.05765645],[0.],[0.03385757],[0.03417984],[0.03809894],[0.05905872]
124,[0.05527699],[0.],[0.03245962],[0.03276893],[0.0365256],[0.05662051]
125,[0.05085158],[0.],[0.02986157],[0.03014582],[0.03360182],[0.0520871]
126,[0.10042358],[0.],[0.05897232],[0.05953306],[0.06635866],[0.10286525]
127,[0.22204195],[0.],[0.13039056],[0.1316304],[0.14672275],[0.22744195]
128,[0.20046614],[0.],[0.11772],[0.11883974],[0.13246589],[0.20533997]
129,[0.18060192],[0.],[0.106056],[0.10706515],[0.11934],[0.1849945]
130,[0.1581863],[0.],[0.0928921],[0.0937751],[0.10452758],[0.16203283]
131,[0.14362618],[0.],[0.08434282],[0.08514461],[0.09490694],[0.14711933]
132,[0.13171853],[0.],[0.0773496],[0.07808573],[0.0870385],[0.13492224]
133,[0.12456202],[0.],[0.0731471],[0.07384262],[0.08230982],[0.1275912]
134,[0.2351497],[0.],[0.13808794],[0.13940122],[0.15538435],[0.24086765]
135,[0.20739802],[0.],[0.12179117],[0.12294893],[0.13704682],[0.21244205]
136,[0.18668189],[0.],[0.10962518],[0.11066803],[0.12335674],[0.19122048]
137,[0.16263936],[0.],[0.09550742],[0.09641635],[0.10747037],[0.16659475]
138,[0.14732755],[0.],[0.08651578],[0.08733917],[0.09735293],[0.15091056]
139,[0.26010029],[0.],[0.15273965],[0.15419203],[0.1718712],[0.26642477]
140,[0.24093763],[0.],[0.14148691],[0.14283216],[0.15920928],[0.24679642]
141,[0.21810125],[0.],[0.1280759],[0.12929414],[0.14411779],[0.22340362]
142,[0.20015078],[0.],[0.1175351],[0.11865312],[0.13225766],[0.2050177]
143,[1.07296704],[0.],[0.63008237],[0.63607421],[0.70900531],[1.09905898]
144,[0.9195215],[0.],[0.53997408],[0.54510883],[0.60760973],[0.94188096]
145,[0.78620717],[0.],[0.4616879],[0.46607702],[0.51951715],[0.8053249]
146,[0.69846019],[0.],[0.41015981],[0.4140599],[0.46153498],[0.7154447]
147,[0.58273776],[0.],[0.34220362],[0.34545744],[0.38506666],[0.59690909]
148,[0.51430896],[0.],[0.30201984],[0.30489264],[0.33985008],[0.52681622]
149,[0.47074003],[0.],[0.27643421],[0.27906336],[0.31105987],[0.48218717]
150,[0.43195939],[0.],[0.2536609],[0.25607318],[0.2854345],[0.44246304]
151,[0.31941562],[0.],[0.18757181],[0.1893551],[0.21106656],[0.32718298]
152,[0.28746662],[0.],[0.16881091],[0.17041536],[0.18995558],[0.29445811]
153,[0.24486451],[0.],[0.14379293],[0.14516064],[0.16180387],[0.25081834]
154,[0.21981888],[0.],[0.12908506],[0.1303128],[0.14525395],[0.22516445]
155,[0.20055773],[0.],[0.11777443],[0.11889331],[0.13252637],[0.20543501]
156,[0.1909129],[0.],[0.11211005],[0.11317622],[0.12615264],[0.19555517]
157,[0.16875302],[0.],[0.09909821],[0.10004083],[0.11151043],[0.17285789]
158,[0.15222038],[0.],[0.08938944],[0.09023875],[0.10058602],[0.15592176]
159,[0.13247366],[0.],[0.07779283],[0.07853242],[0.08753702],[0.13569466]
160,[0.51768374],[0.],[0.30400099],[0.30689194],[0.3420792],[0.53027136]
161,[3.22234934],[0.],[1.89227318],[1.91026598],[2.12929344],[3.3007081]
162,[5.57488915],[0.],[3.27376512],[3.30489418],[3.6838273],[5.71045594]
163,[7.36691414],[0.],[4.32610243],[4.36723834],[4.86797645],[7.5460559]
164,[5.52630298],[0.],[3.24523325],[3.27609101],[3.65172106],[5.66068694]
165,[4.19817859],[0.],[2.46531341],[2.48875632],[2.77411133],[4.3002671]
166,[3.22579066],[0.],[1.89429408],[1.91230675],[2.13156749],[3.30423322]
167,[2.48091898],[0.],[1.45688112],[1.47073363],[1.63936483],[2.5412495]
168,[1.94877706],[0.],[1.14438874],[1.15527082],[1.28773152],[1.99616659]
169,[2.75789578],[0.],[1.61952998],[1.63492992],[1.82238768],[2.82495946]
170,[2.26733472],[0.],[1.33145683],[1.34411702],[1.49823043],[2.32247088]
