,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
80,[0.10167944],0,[0.05970947],[0.06027718],[0.0671886],[0.10415111]
81,[0.10516159],0,[0.06175432],[0.06234146],[0.06948957],[0.10771796]
82,[0.108687],0,[0.0638246],[0.06443137],[0.07181914],[0.11132913]
83,[0.11261557],0,[0.06613161],[0.06676028],[0.0744151],[0.11535326]
84,[0.11698755],0,[0.06869902],[0.06935206],[0.07730406],[0.11983158]
85,[0.12158063],0,[0.07139626],[0.07207491],[0.08033913],[0.12453638]
86,[0.12620628],0,[0.07411262],[0.07481707],[0.08339572],[0.12927454]
87,[0.13073648],0,[0.07677292],[0.07750265],[0.08638922],[0.13391492]
88,[0.13496788],0,[0.07925774],[0.0800111],[0.08918528],[0.13824924]
89,[0.13804297],0,[0.08106352],[0.08183405],[0.09121725],[0.14139911]
90,[0.14067071],0,[0.08260661],[0.0833918],[0.09295361],[0.14409075]
91,[0.14461157],0,[0.0849208],[0.08572799],[0.09555766],[0.14812743]
92,[0.14981879],0,[0.08797865],[0.08881491],[0.09899852],[0.15346128]
93,[0.15563636],0,[0.09139491],[0.09226365],[0.10284268],[0.15942031]
94,[0.16170334],0,[0.09495764],[0.09586025],[0.10685166],[0.16563482]
95,[0.16783142],0,[0.09855625],[0.09949307],[0.11090102],[0.17191193]
96,[0.17425596],0,[0.10232895],[0.10330164],[0.11514627],[0.1784927]
97,[0.18150568],0,[0.10658623],[0.1075994],[0.11993679],[0.18591871]
98,[0.18952163],0,[0.11129346],[0.11235139],[0.12523363],[0.19412959]
99,[0.19785759],0,[0.11618861],[0.11729308],[0.13074193],[0.20266825]
100,[0.20622779],0,[0.12110387],[0.12225508],[0.13627286],[0.211242]
101,[0.21444479],0,[0.12592916],[0.12712626],[0.14170256],[0.21965882]
102,[0.22266815],0,[0.13075819],[0.13200121],[0.14713645],[0.22808215]
103,[0.23128528],0,[0.13581845],[0.1371096],[0.15283055],[0.23690883]
104,[0.24021887],0,[0.14106456],[0.14240559],[0.15873377],[0.24605968]
105,[0.24911931],0,[0.1462912],[0.14768193],[0.16461508],[0.25517656]
106,[0.2577706],0,[0.15137153],[0.15281057],[0.17033175],[0.26403823]
107,[0.26502087],0,[0.15562913],[0.15710867],[0.17512265],[0.27146484]
108,[0.26958943],0,[0.15831194],[0.15981702],[0.17814152],[0.27614455]
109,[0.27115225],0,[0.15922967],[0.16074349],[0.17917421],[0.27774536]
110,[0.23285318],0,[0.13673923],[0.13803955],[0.1538663],[0.23851498]
111,[0.20510496],0,[0.12044419],[0.12158899],[0.1355305],[0.2100911]
112,[0.19145981],0,[0.11243232],[0.11350109],[0.12651466],[0.1961159]
113,[0.16686778],0,[0.0979897],[0.09892195],[0.11026368],[0.17092512]
114,[0.14478048],0,[0.08501933],[0.08582803],[0.09566899],[0.14830042]
115,[0.12757306],0,[0.07491485],[0.07562678],[0.08429789],[0.13067482]
116,[0.1157881],0,[0.06799507],[0.06864134],[0.07651152],[0.11860387]
117,[0.10861344],0,[0.06378134],[0.06438787],[0.07176989],[0.11125382]
118,[0.10515571],0,[0.06175094],[0.06233846],[0.06948634],[0.10771315]
119,[0.10008317],0,[0.05877274],[0.05933174],[0.06613402],[0.10251706]
120,[0.09438163],0,[0.05542387],[0.05595091],[0.06236611],[0.09667555]
121,[0.0871992],0,[0.05120669],[0.05169398],[0.05762102],[0.08932032]
122,[0.07802611],0,[0.04581965],[0.0462551],[0.0515592],[0.07992346]
123,[0.05765645],0,[0.03385757],[0.03417984],[0.03809894],[0.05905872]
124,[0.05527699],0,[0.03245962],[0.03276893],[0.0365256],[0.05662051]
