,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
101,[0.03078639],0,[0.01807931],[0.01825101],[0.02034362],[0.03153565]
102,[0.47915354],0,[0.28137557],[0.28405157],[0.31661951],[0.49080558]
103,[0.26662125],0,[0.1565691],[0.1580583],[0.17618073],[0.27310467]
104,[0.15342872],0,[0.09009866],[0.09095572],[0.10138397],[0.15715933]
105,[0.07161345],0,[0.04205428],[0.04245403],[0.04732163],[0.07335563]
106,[0.00890641],0,[0.00523037],[0.00527991],[0.00588504],[0.0091235]
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,[0.0483327],0,[0.02838298],[0.02865255],[0.03193791],[0.04950869]
127,[0.16449397],0,[0.09659662],[0.09751483],[0.10869601],[0.16849554]
128,[0.13523286],0,[0.07941299],[0.0801682],[0.08936077],[0.13852133]
129,[0.1091036],0,[0.06406994],[0.06467957],[0.07209499],[0.11175843]
130,[0.0817932],0,[0.04803164],[0.04848779],[0.05404813],[0.08378289]
131,[0.06350741],0,[0.03729451],[0.03764867],[0.0419656],[0.06505307]
132,[0.04872208],0,[0.0286114],[0.02888383],[0.03219558],[0.04990826]
133,[0.03930838],0,[0.02308339],[0.02330261],[0.02597535],[0.04026508]
134,[0.14516595],0,[0.08524654],[0.0860571],[0.09592425],[0.14869637]
135,[0.11084976],0,[0.06509486],[0.06571327],[0.07324894],[0.11354659]
136,[0.08510905],0,[0.04997828],[0.05045373],[0.05623866],[0.08717823]
137,[0.05741213],0,[0.03371455],[0.03403566],[0.03793752],[0.05880923]
138,[0.03961251],0,[0.02326197],[0.02348362],[0.02617614],[0.04057668]
139,[0.14758531],0,[0.08666714],[0.08749098],[0.09752265],[0.1511742]
140,[0.12152245],0,[0.07136237],[0.07204056],[0.08030114],[0.12447785]
141,[0.09318085],0,[0.05471852],[0.05523896],[0.06157189],[0.09544598]
142,[0.07102011],0,[0.04170531],[0.04210202],[0.04692967],[0.07274741]
143,[0.91846495],0,[0.53935363],[0.54448248],[0.60691214],[0.94080028]
144,[0.72293231],0,[0.42453037],[0.42856711],[0.47770584],[0.7405117]
145,[0.55680421],0,[0.32697483],[0.33008274],[0.36793029],[0.57034396]
146,[0.4434107],0,[0.26038619],[0.26286191],[0.29300115],[0.45419357]
147,[0.3084108],0,[0.1811096],[0.18283142],[0.20379448],[0.31591167]
148,[0.22627218],0,[0.13287493],[0.13413917],[0.14951859],[0.23177554]
149,[0.17247886],0,[0.1012852],[0.10224866],[0.11397221],[0.17667343]
150,[0.1260438],0,[0.07401696],[0.0747208],[0.08328886],[0.12910874]
151,[0.01001142],0,[0.00587925],[0.00593464],[0.00661568],[0.01025524]
152,0,0,0,0,0,0
153,0,0,0,0,0,0
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,0,0,0,0,0,0
159,0,0,0,0,0,0
160,[0.37557983],0,[0.22055296],[0.22265053],[0.24817862],[0.38471229]
