Date,Simulated TDS,Threshold,Output
1920-10-01,200.2959431,170,0.094176
1920-10-02,200.2675971,170,0
1920-10-03,200.2936591,170,0
1920-10-04,200.2030418,170,0
1920-10-05,200.1236961,170,0
1920-10-06,200.0566506,170,0
1920-10-07,199.999244,170,0
1920-10-08,199.9486025,170,0
1920-10-09,199.9029876,170,0
1920-10-10,199.8645336,170,0
1920-10-11,199.8317813,170,0
1920-10-12,199.805056,170,0
1920-10-13,199.7846506,170,0
1920-10-14,199.7697012,170,0
1920-10-15,199.7603389,170,0
1920-10-16,199.7573086,170,0
1920-10-17,199.7588194,170,0
1920-10-18,199.7657946,170,0
1920-10-19,199.7784635,170,0
1920-10-20,199.7963181,170,0
1920-10-21,199.8170364,170,0
1920-10-22,199.3705378,170,0
1920-10-23,198.9732958,170,0
1920-10-24,198.6268841,170,0
1920-10-25,198.449181,170,0
1920-10-26,198.5636315,170,0
1920-10-27,198.3123335,170,0
1920-10-28,198.9092821,170,0
1920-10-29,203.7644117,170,0
1920-10-30,190.5464785,170,0
1920-10-31,180.893409,170,0
1920-11-01,172.8686817,170,0
1920-11-02,172.3075372,170,0
1920-11-03,171.8505775,170,0
1920-11-04,171.6206234,170,0
1920-11-05,171.5273607,170,0
1920-11-06,171.5918289,170,0
1920-11-07,171.7370894,170,0
1920-11-08,171.9561993,170,0
1920-11-09,173.1358903,170,0
1920-11-10,171.348339,170,0
1920-11-11,169.8758735,170,0
1920-11-12,169.0926873,170,0.0901152
1920-11-13,170.0171106,170,0.0901152
1920-11-14,166.2264607,170,0
1920-11-15,163.5087917,170,0.0901152
1920-11-16,161.3653381,170,0.0901152
1920-11-17,159.7376763,170,0.0901152
1920-11-18,158.6329814,170,0.0901152
1920-11-19,158.0847098,170,0.0901152
1920-11-20,158.0057141,170,0.0901152
1920-11-21,158.1698557,170,0.0901152
1920-11-22,158.4191006,170,0.0901152
1920-11-23,158.8347832,170,0.0901152
1920-11-24,159.2607603,170,0.0901152
1920-11-25,159.6441847,170,0.0901152
1920-11-26,160.005669,170,0.0901152
1920-11-27,160.3377818,170,0.0901152
1920-11-28,160.6535833,170,0.0901152
1920-11-29,160.8831718,170,0.0901152
1920-11-30,161.1315326,170,0.0901152
1920-12-01,161.2315998,170,0.0824256
1920-12-02,161.4145953,170,0.0824256
1920-12-03,161.5910964,170,0.0824256
1920-12-04,161.7672471,170,0.0824256
1920-12-05,161.9427238,170,0.0824256
1920-12-06,162.1068728,170,0.0824256
1920-12-07,162.2607024,170,0.0824256
1920-12-08,162.3981989,170,0.0824256
1920-12-09,162.5302416,170,0.0824256
1920-12-10,162.5463736,170,0.0824256
1920-12-11,162.6573443,170,0.0824256
1920-12-12,162.7477758,170,0.0824256
1920-12-13,163.1286776,170,0.0824256
1920-12-14,162.7771692,170,0.0824256
1920-12-15,162.5034167,170,0.0824256
1920-12-16,162.2988923,170,0.0824256
1920-12-17,162.2041297,170,0.0824256
1920-12-18,162.1821532,170,0.0824256
1920-12-19,162.2101154,170,0.0824256
1920-12-20,162.2551114,170,0.0824256
1920-12-21,162.340771,170,0.0824256
1920-12-22,162.7539534,170,0.0824256
1920-12-23,162.5259867,170,0.0824256
1920-12-24,162.367758,170,0.0824256
1920-12-25,162.2857627,170,0.0824256
1920-12-26,162.3094833,170,0.0824256
1920-12-27,162.3851145,170,0.0824256
1920-12-28,162.5078299,170,0.0824256
1920-12-29,162.6367559,170,0.0824256
1920-12-30,163.5255634,170,0.0824256
1920-12-31,162.7028676,170,0.0824256
1921-01-01,162.0582032,170,0.086832
1921-01-02,161.896371,170,0.086832
1921-01-03,161.8058816,170,0.086832
1921-01-04,161.8016889,170,0.086832
1921-01-05,162.3556899,170,0.086832
1921-01-06,161.7432644,170,0.086832
1921-01-07,161.3836677,170,0.086832
1921-01-08,161.2253339,170,0.086832
1921-01-09,161.219637,170,0.086832
1921-01-10,161.2550311,170,0.086832
1921-01-11,161.8044021,170,0.086832
1921-01-12,161.4005416,170,0.086832
1921-01-13,161.2874092,170,0.086832
1921-01-14,161.319342,170,0.086832
1921-01-15,161.45851,170,0.086832
1921-01-16,161.6712928,170,0.086832
1921-01-17,161.9263296,170,0.086832
1921-01-18,162.2107739,170,0.086832
1921-01-19,162.4810018,170,0.086832
1921-01-20,162.7330302,170,0.086832
1921-01-21,162.9922783,170,0.086832
1921-01-22,163.1982299,170,0.086832
1921-01-23,163.3782902,170,0.086832
1921-01-24,163.543361,170,0.086832
1921-01-25,163.7057856,170,0.086832
1921-01-26,163.8757227,170,0.086832
1921-01-27,164.0409948,170,0.086832
1921-01-28,164.1992861,170,0.086832
1921-01-29,164.3496651,170,0.086832
1921-01-30,164.4899826,170,0.086832
1921-01-31,164.6173285,170,0.086832
1921-02-01,164.7105947,170,0.09072
1921-02-02,164.8020329,170,0.09072
1921-02-03,164.8868638,170,0.09072
1921-02-04,164.9503854,170,0.09072
1921-02-05,164.9160944,170,0.09072
1921-02-06,164.9031597,170,0.09072
1921-02-07,164.9101349,170,0.09072
1921-02-08,164.9388923,170,0.09072
1921-02-09,164.9824625,170,0.09072
1921-02-10,165.0383463,170,0.09072
1921-02-11,165.102604,170,0.09072
1921-02-12,165.0782024,170,0.09072
1921-02-13,165.1914534,170,0.09072
1921-02-14,165.2151677,170,0.09072
1921-02-15,165.2226672,170,0.09072
1921-02-16,165.2626828,170,0.09072
1921-02-17,165.4451055,170,0.09072
1921-02-18,165.4095001,170,0.09072
1921-02-19,165.393241,170,0.09072
1921-02-20,165.407313,170,0.09072
1921-02-21,166.2354198,170,0.09072
1921-02-22,165.3258708,170,0.09072
1921-02-23,164.6004152,170,0.09072
1921-02-24,164.063926,170,0.09072
1921-02-25,163.6125698,170,0.09072
1921-02-26,163.3360079,170,0.09072
1921-02-27,163.1680087,170,0.09072
1921-02-28,163.0668733,170,0.09072
1921-03-01,162.9495394,170,0.093312
1921-03-02,163.0255651,170,0.093312
1921-03-03,163.1229852,170,0.093312
1921-03-04,163.2760026,170,0.093312
1921-03-05,163.4565079,170,0.093312
1921-03-06,163.6637082,170,0.093312
1921-03-07,163.8621919,170,0.093312
1921-03-08,164.0563376,170,0.093312
1921-03-09,164.2185647,170,0.093312
1921-03-10,164.7690662,170,0.093312
1921-03-11,166.8814449,170,0.093312
1921-03-12,165.5553447,170,0.093312
1921-03-13,160.4888229,170,0.093312
1921-03-14,150.8791193,170,0.093312
1921-03-15,144.4004135,170,0.093312
1921-03-16,140.0895957,170,0.093312
1921-03-17,137.3009625,170,0.093312
1921-03-18,135.6621256,170,0.093312
1921-03-19,135.3849037,170,0.093312
1921-03-20,133.835275,170,0.093312
1921-03-21,132.9794663,170,0.093312
1921-03-22,132.8667204,170,0.093312
1921-03-23,133.0420963,170,0.093312
1921-03-24,133.4511063,170,0.093312
1921-03-25,134.2508552,170,0.093312
1921-03-26,135.0860855,170,0.093312
1921-03-27,135.9326465,170,0.093312
1921-03-28,136.6635591,170,0.093312
1921-03-29,137.7369085,170,0.093312
1921-03-30,138.2844879,170,0.093312
1921-03-31,139.0133024,170,0.093312
1921-04-01,140.0118884,170,0.0905472
1921-04-02,140.6318375,170,0.0905472
1921-04-03,141.3732115,170,0.0905472
1921-04-04,142.1694891,170,0.0905472
1921-04-05,142.8842301,170,0.0905472
1921-04-06,143.5106221,170,0.0905472
1921-04-07,144.0421811,170,0.0905472
1921-04-08,144.4921562,170,0.0905472
1921-04-09,144.9179035,170,0.0905472
1921-04-10,145.3271695,170,0.0905472
1921-04-11,145.6888499,170,0.0905472
1921-04-12,146.0231083,170,0.0905472
1921-04-13,146.3177643,170,0.0905472
1921-04-14,146.5648773,170,0.0905472
1921-04-15,146.802831,170,0.0905472
1921-04-16,147.0260659,170,0.0905472
1921-04-17,147.2367785,170,0.0905472
1921-04-18,147.4302389,170,0.0905472
1921-04-19,147.618779,170,0.0905472
1921-04-20,147.7874427,170,0.0905472
1921-04-21,147.9469979,170,0.0905472
1921-04-22,148.099723,170,0.0905472
1921-04-23,148.2481882,170,0.0905472
1921-04-24,148.391366,170,0.0905472
1921-04-25,148.5271355,170,0.0905472
1921-04-26,148.6552344,170,0.0905472
1921-04-27,148.7719008,170,0.0905472
1921-04-28,148.8837443,170,0.0905472
1921-04-29,148.9911412,170,0.0905472
1921-04-30,149.0907288,170,0.0905472
1921-05-01,149.1990092,170,0.0909792
1921-05-02,149.2969843,170,0.0909792
1921-05-03,149.3275878,170,0.0909792
1921-05-04,149.3704463,170,0.0909792
1921-05-05,149.4236886,170,0.0909792
1921-05-06,149.4848725,170,0.0909792
1921-05-07,149.5547362,170,0.0909792
1921-05-08,149.635966,170,0.0909792
1921-05-09,149.7296703,170,0.0909792
1921-05-10,149.834125,170,0.0909792
1921-05-11,149.9445323,170,0.0909792
1921-05-12,150.0611458,170,0.0909792
1921-05-13,150.1833792,170,0.0909792
1921-05-14,150.3082836,170,0.0909792
1921-05-15,150.4350518,170,0.0909792
1921-05-16,150.562976,170,0.0909792
1921-05-17,150.691484,170,0.0909792
1921-05-18,150.8199681,170,0.0909792
1921-05-19,150.9447489,170,0.0909792
1921-05-20,151.0636893,170,0.0909792
1921-05-21,151.1786758,170,0.0909792
1921-05-22,151.2885626,170,0.0909792
1921-05-23,151.3923445,170,0.0909792
1921-05-24,151.4905776,170,0.0909792
1921-05-25,151.5857564,170,0.0909792
1921-05-26,151.6789699,170,0.0909792
1921-05-27,151.7702718,170,0.0909792
1921-05-28,151.8583686,170,0.0909792
1921-05-29,151.9448818,170,0.0909792
1921-05-30,152.0289937,170,0.0909792
1921-05-31,152.1110585,170,0.0909792
1921-06-01,152.1945421,170,0.0922752
1921-06-02,152.28049,170,0.0922752
1921-06-03,152.3643595,170,0.0922752
1921-06-04,152.4456107,170,0.0922752
1921-06-05,152.5241411,170,0.0922752
1921-06-06,152.601054,170,0.0922752
1921-06-07,152.676597,170,0.0922752
1921-06-08,152.7507857,170,0.0922752
1921-06-09,152.8231609,170,0.0922752
1921-06-10,152.8932083,170,0.0922752
1921-06-11,152.9622852,170,0.0922752
1921-06-12,153.0302385,170,0.0922752
1921-06-13,153.0971153,170,0.0922752
1921-06-14,153.1624118,170,0.0922752
1921-06-15,153.226447,170,0.0922752
1921-06-16,153.2898979,170,0.0922752
1921-06-17,153.3531842,170,0.0922752
1921-06-18,153.4154368,170,0.0922752
1921-06-19,153.476118,170,0.0922752
1921-06-20,153.536177,170,0.0922752
1921-06-21,153.5953647,170,0.0922752
1921-06-22,153.6540538,170,0.0922752
1921-06-23,153.7117622,170,0.0922752
1921-06-24,153.7690273,170,0.0922752
1921-06-25,153.8259373,170,0.0922752
1921-06-26,153.8824972,170,0.0922752
1921-06-27,153.9379044,170,0.0922752
1921-06-28,153.9927439,170,0.0922752
1921-06-29,154.04674,170,0.0922752
1921-06-30,154.1004142,170,0.0922752
1921-07-01,154.1573699,170,0.089424
1921-07-02,154.2245824,170,0.089424
1921-07-03,154.2919288,170,0.089424
1921-07-04,154.3594231,170,0.089424
1921-07-05,154.4270676,170,0.089424
1921-07-06,154.4948617,170,0.089424
1921-07-07,154.5628052,170,0.089424
1921-07-08,154.630872,170,0.089424
1921-07-09,154.6990915,170,0.089424
1921-07-10,154.767452,170,0.089424
1921-07-11,154.835936,170,0.089424
1921-07-12,154.9045553,170,0.089424
1921-07-13,154.9732736,170,0.089424
1921-07-14,155.0420038,170,0.089424
1921-07-15,155.1107201,170,0.089424
1921-07-16,155.1794405,170,0.089424
1921-07-17,155.2481787,170,0.089424
1921-07-18,155.3169335,170,0.089424
1921-07-19,155.3854279,170,0.089424
1921-07-20,155.453355,170,0.089424
1921-07-21,155.5207715,170,0.089424
1921-07-22,155.5879625,170,0.089424
1921-07-23,155.6549754,170,0.089424
1921-07-24,155.7216137,170,0.089424
1921-07-25,155.7880829,170,0.089424
1921-07-26,155.8542548,170,0.089424
1921-07-27,155.9199974,170,0.089424
1921-07-28,155.9851087,170,0.089424
1921-07-29,156.0500214,170,0.089424
1921-07-30,156.1148225,170,0.089424
1921-07-31,156.1795097,170,0.089424
1921-08-01,156.2490111,170,0.0914976
